taggable_id,taggable_type,tag_id,tag_order
228,lead,102,1
227,lead,102,1
226,lead,102,1
222,lead,102,1
221,lead,102,1
218,lead,102,1
213,lead,102,1
212,lead,102,1
210,lead,102,1
209,lead,102,1
208,lead,102,1
207,lead,102,1
206,lead,102,1
202,lead,102,1
201,lead,102,1
190,lead,102,1
184,lead,102,1
174,lead,102,1
173,lead,102,1
172,lead,102,1
168,lead,102,1
166,lead,102,1
165,lead,102,1
164,lead,102,1
158,lead,102,1
154,lead,102,1
147,lead,102,1
144,lead,102,1
135,lead,102,1
133,lead,102,1
132,lead,102,1
130,lead,102,1
128,lead,102,1
126,lead,102,1
121,lead,102,1
120,lead,102,1
116,lead,102,1
112,lead,102,1
106,lead,102,1
101,lead,102,1
535,lead,102,1
531,lead,102,1
523,lead,102,1
510,lead,102,1
481,lead,102,1
409,lead,102,1
384,lead,102,1
383,lead,102,1
374,lead,102,1
347,lead,102,1
307,lead,102,1
299,lead,102,1
251,lead,102,1
247,lead,102,1
242,lead,102,1
193,lead,102,1
163,lead,102,1
157,lead,102,1
96,lead,102,1
594,lead,102,1
579,lead,102,1
536,lead,102,1
522,lead,102,1
521,lead,102,1
511,lead,102,1
491,lead,102,1
489,lead,102,1
457,lead,102,1
408,lead,102,1
376,lead,102,1
367,lead,102,1
346,lead,102,1
245,lead,102,1
215,lead,102,1
199,lead,102,1
478,lead,102,1
178,lead,102,1
171,lead,102,1
169,lead,102,1
167,lead,102,1
151,lead,102,1
148,lead,102,1
319,lead,102,1
315,lead,102,1
314,lead,102,1
313,lead,102,1
309,lead,102,1
308,lead,102,1
304,lead,102,1
302,lead,102,1
301,lead,102,1
300,lead,102,1
287,lead,102,1
286,lead,102,1
285,lead,102,1
278,lead,102,1
277,lead,102,1
276,lead,102,1
275,lead,102,1
274,lead,102,1
273,lead,102,1
272,lead,102,1
271,lead,102,1
269,lead,102,1
268,lead,102,1
260,lead,102,1
259,lead,102,1
258,lead,102,1
257,lead,102,1
254,lead,102,1
252,lead,102,1
250,lead,102,1
225,lead,102,1
391,lead,102,1
388,lead,102,1
386,lead,102,1
343,lead,102,1
340,lead,102,1
337,lead,102,1
324,lead,102,1
323,lead,102,1
322,lead,102,1
637,lead,101,1
633,lead,101,1
567,lead,101,1
571,lead,101,1
577,lead,101,2
572,lead,101,1
575,lead,101,1
580,lead,101,1
641,lead,101,1
645,lead,101,1
645,lead,103,2
647,lead,101,1
647,lead,104,2
2206,invoice,105,1
2205,invoice,105,1
2204,invoice,105,1
2203,invoice,105,1
651,lead,101,1
2231,invoice,105,1
2083,invoice,105,1
2232,invoice,105,1
2088,invoice,105,1
2144,invoice,105,1
2195,invoice,105,1
2229,invoice,105,1
2090,invoice,105,1
2087,invoice,105,1
2223,invoice,105,1
2086,invoice,105,1
2085,invoice,105,1
2084,invoice,105,1
1931,invoice,105,1
2116,invoice,105,1
2194,invoice,105,1
1944,invoice,105,1
2132,invoice,105,1
1277,invoice,105,1
2143,invoice,105,1
2105,invoice,105,1
1950,invoice,105,1
1821,invoice,105,1
1722,invoice,105,1
1590,invoice,105,1
1514,invoice,105,1
1433,invoice,105,1
1282,invoice,105,1
1610,invoice,105,1
1285,invoice,105,1
1281,invoice,105,1
2202,invoice,105,1
1283,invoice,105,1
1284,invoice,105,1
1279,invoice,105,1
1500,invoice,105,1
2091,invoice,105,1
2117,invoice,105,1
2127,invoice,105,1
1791,invoice,105,1
1599,invoice,105,1
1560,invoice,105,1
1561,invoice,105,1
1553,invoice,105,1
1614,invoice,105,1
1910,invoice,105,1
1862,invoice,105,1
1721,invoice,105,1
1672,invoice,105,1
1673,invoice,105,1
2222,invoice,105,1
2221,invoice,105,1
2219,invoice,105,1
2196,invoice,105,1
2176,invoice,105,1
2102,invoice,105,1
2045,invoice,105,1
2043,invoice,105,1
1929,invoice,105,1
1914,invoice,105,1
1913,invoice,105,1
1799,invoice,105,1
1788,invoice,105,1
1787,invoice,105,1
1736,invoice,105,1
1692,invoice,105,1
1674,invoice,105,1
1675,invoice,105,1
1598,invoice,105,1
1616,invoice,105,1
1897,invoice,105,1
1575,invoice,105,1
1536,invoice,105,1
1531,invoice,105,1
1516,invoice,105,1
1517,invoice,105,1
1518,invoice,105,1
1519,invoice,105,1
1945,invoice,105,1
1633,invoice,105,1
1202,invoice,105,1
828,invoice,105,1
659,invoice,105,1
1220,invoice,105,1
1141,invoice,105,1
1076,invoice,105,1
988,invoice,105,1
757,invoice,105,1
888,invoice,105,1
594,invoice,105,1
546,invoice,105,1
446,invoice,105,1
116,invoice,105,1
1422,invoice,105,1
1206,invoice,105,1
540,invoice,105,1
1419,invoice,105,1
1144,invoice,105,1
969,invoice,105,1
776,invoice,105,1
697,invoice,105,1
545,invoice,105,1
1221,invoice,105,1
1142,invoice,105,1
1077,invoice,105,1
989,invoice,105,1
889,invoice,105,1
758,invoice,105,1
593,invoice,105,1
547,invoice,105,1
2218,invoice,105,1
1755,invoice,105,1
1630,invoice,105,1
1611,invoice,105,1
1444,invoice,105,1
1261,invoice,105,1
1134,invoice,105,1
1039,invoice,105,1
967,invoice,105,1
872,invoice,105,1
772,invoice,105,1
655,invoice,105,1
510,invoice,105,1
1549,invoice,105,1
1544,invoice,105,1
1545,invoice,105,1
1546,invoice,105,1
1562,invoice,105,1
1565,invoice,105,1
1556,invoice,105,1
1541,invoice,105,1
2038,invoice,105,1
1887,invoice,105,1
1636,invoice,105,1
1551,invoice,105,1
1547,invoice,105,1
1566,invoice,105,1
2158,invoice,105,1
1373,invoice,105,1
1210,invoice,105,1
1128,invoice,105,1
1427,invoice,105,1
1349,invoice,105,1
1346,invoice,105,1
1299,invoice,105,1
1240,invoice,105,1
1589,invoice,105,1
1129,invoice,105,1
951,invoice,105,1
727,invoice,105,1
653,invoice,105,1
578,invoice,105,1
516,invoice,105,1
759,invoice,105,1
699,invoice,105,1
656,invoice,105,1
631,invoice,105,1
519,invoice,105,1
718,invoice,105,1
530,invoice,105,1
1871,invoice,105,1
1872,invoice,105,1
1876,invoice,105,1
1902,invoice,105,1
1873,invoice,105,1
1870,invoice,105,1
1875,invoice,105,1
2131,invoice,105,1
2118,invoice,105,1
1286,invoice,105,1
2150,invoice,105,1
2142,invoice,105,1
2018,invoice,105,1
1992,invoice,105,1
1920,invoice,105,1
1445,invoice,105,1
1278,invoice,105,1
2109,invoice,105,1
1867,invoice,105,1
1724,invoice,105,1
1501,invoice,105,1
2147,invoice,105,1
2139,invoice,105,1
2026,invoice,105,1
1762,invoice,105,1
1505,invoice,105,1
1502,invoice,105,1
1331,invoice,105,1
1330,invoice,105,1
1280,invoice,105,1
1504,invoice,105,1
2148,invoice,105,1
2140,invoice,105,1
2092,invoice,105,1
1503,invoice,105,1
2029,invoice,105,1
2130,invoice,105,1
2128,invoice,105,1
2153,invoice,105,1
1772,invoice,105,1
1723,invoice,105,1
1631,invoice,105,1
2068,invoice,105,1
2115,invoice,105,1
1316,invoice,105,1
1645,invoice,105,1
1529,invoice,105,1
1528,invoice,105,1
1527,invoice,105,1
1392,invoice,105,1
1391,invoice,105,1
1317,invoice,105,1
1318,invoice,105,1
2217,invoice,105,1
2114,invoice,105,1
1936,invoice,105,1
1783,invoice,105,1
1648,invoice,105,1
1532,invoice,105,1
1436,invoice,105,1
1319,invoice,105,1
1321,invoice,105,1
