"id","project_id","staff_id"
915,498,12
916,498,4
917,499,6
918,499,12
919,499,4
920,500,7
921,500,9
922,501,10
923,501,4
925,503,6
926,503,4
927,504,7
928,504,3
931,506,9
932,506,7
933,507,3
934,508,5
938,512,7
939,513,7
940,513,3
941,514,7
942,515,10
943,515,4
945,517,6
946,517,4
947,518,6
948,518,12
949,518,4
950,519,6
951,519,12
952,519,4
959,522,6
960,522,12
961,522,4
962,523,6
963,523,12
964,523,4
965,524,6
966,524,12
967,524,4
968,525,6
969,525,12
970,525,4
971,526,6
972,526,12
973,526,4
974,512,9
975,527,5
976,528,10
977,528,4
978,529,10
979,530,4
980,530,7
983,532,4
985,533,4
986,533,7
987,534,4
988,534,7
989,534,5
990,535,3
991,536,4
992,537,4
994,538,10
995,538,4
996,538,3
997,539,3
998,540,7
999,540,3
1000,541,4
1001,541,3
1002,542,9
1003,542,7
1006,544,7
1007,544,5
1008,545,9
1009,545,7
1010,415,7
1011,546,4
1012,546,7
1013,547,4
1014,547,7
1015,547,5
1016,548,3
1017,549,7
1019,551,4
1020,551,7
1021,552,7
1022,553,7
1023,554,7
1024,555,7
1025,556,7
1026,557,7
1027,558,7
1028,559,7
1029,560,7
1030,561,7
1031,562,7
1032,563,7
1033,564,7
1034,565,7
1035,566,6
1036,566,4
1037,567,7
1038,568,7
1041,569,7
1044,570,7
1046,570,3
1047,571,7
1048,571,5
1049,572,7
1051,572,3
1052,573,7
1054,574,9
1055,574,7
1057,575,3
1060,577,3
1062,578,9
1063,579,9
1064,580,3
1065,581,4
1066,582,7
1067,582,5
1068,583,10
1069,583,5
1070,583,3
1071,584,4
1072,585,9
1073,585,7
1074,579,7
1075,586,7
1076,587,4
1077,588,6
1078,588,4
1079,589,9
1080,590,7
1081,591,7
1082,591,5
1083,592,4
1084,592,7
1085,592,5
1086,593,4
1087,593,7
1088,594,7
1089,594,3
1090,595,7
1091,595,5
1092,596,7
1093,596,9
1094,597,4
1095,597,5
1096,598,4
1097,598,7
1098,598,5
1099,599,9
1100,600,9
1101,601,7
1102,601,9
1103,602,9
1104,599,7
1105,603,7
1106,603,5
1107,604,7
1109,605,10
1110,605,4
1111,606,4
1112,606,7
1114,608,9
1117,610,4
1119,611,4
1121,612,4
1123,613,4
1124,614,10
1125,614,4
1127,615,4
1130,617,10
1131,617,4
1132,618,10
1133,618,4
1134,619,10
1135,619,4
1136,620,9
1137,621,9
1138,621,8
1139,622,10
1140,622,4
1141,622,7
1142,623,7
1143,623,5
1144,624,7
1146,625,4
1148,625,10
1150,626,12
1151,626,5
1152,627,4
1153,628,7
1154,628,5
1155,629,10
1156,630,5
1157,631,10
1158,632,13
1160,633,4
1161,634,10
1162,634,4
1164,636,3
1165,637,7
1166,638,12
1169,639,3
1170,640,7
1171,640,3
1172,641,7
1173,642,7
1174,643,7
1175,644,7
1176,645,7
1177,646,7
1178,647,7
1179,648,7
1181,649,5
1182,650,7
1183,651,7
1184,651,3
1185,652,8
1186,653,9
1187,653,7
1188,653,8
1190,654,8
1191,655,5
1192,656,7
1193,657,7
1194,658,7
1195,659,4
1196,659,7
1197,659,5
1198,660,6
1199,660,4
1200,661,7
1201,662,6
1202,662,4
1203,663,6
1204,663,4
1206,664,4
1207,665,10
1208,665,4
1209,666,7
1210,666,5
1211,667,12
1212,667,10
1213,667,3
1214,668,7
1215,668,3
1216,669,9
1217,669,7
1218,600,12
1219,670,4
1220,671,9
1221,672,7
1222,672,5
1223,664,6
1224,673,10
1225,674,7
1226,675,7
1228,676,7
1229,676,5
1230,677,7
1231,677,5
1232,679,10
1233,679,4
1234,680,10
1235,680,4
1236,680,8
1237,681,4
1238,681,8
1239,682,10
1240,683,10
1241,684,7
1242,684,5
1243,685,10
1244,685,4
1245,685,3
1246,686,3
1247,687,3
1248,688,3
1249,689,10
1250,689,4
1251,689,5
1254,691,13
1255,692,12
1256,692,7
1257,693,7
1258,694,9
1259,695,7
1260,696,4
1261,696,7
1262,697,10
1263,698,7
1264,698,9
1265,699,10
1266,699,4
1267,700,5
1268,701,9
1269,702,10
1270,703,7
1271,703,5
1272,704,7
1273,704,5
1274,705,7
1277,707,10
1278,707,4
1279,708,5
1280,708,3
1281,709,5
1282,710,5
1284,712,4
1285,712,8
1286,713,7
1287,713,5
1288,714,4
1289,714,5
1290,715,7
1291,715,3
1292,716,6
1293,716,4
1294,717,6
1295,717,4
1296,718,6
1297,718,4
1298,719,6
1299,719,4
1300,720,6
1301,720,4
1302,721,6
1303,721,4
1304,722,6
1305,722,4
1306,723,6
1307,723,4
1308,724,6
1309,724,4
1310,725,10
1311,725,4
1314,727,10
1315,727,4
1316,728,10
1317,728,4
1318,729,10
1319,729,4
1320,730,10
1321,730,4
1324,732,10
1325,732,4
1326,733,10
1327,733,4
1328,734,10
1329,734,4
1332,736,7
1335,738,10
1336,738,4
1337,739,10
1338,739,4
1339,740,10
1340,740,4
1345,744,10
1346,745,10
1347,745,4
1348,746,10
1349,746,4
1352,744,4
1355,748,10
1356,748,4
1357,749,6
1358,749,4
1359,750,6
1360,750,4
1361,751,10
1362,751,3
1363,752,9
1364,753,7
1365,754,7
1366,755,7
1367,756,6
1368,756,4
1370,757,4
1371,758,10
1372,759,7
1375,761,7
1376,762,9
1378,763,4
1379,763,6
1381,765,12
1382,765,4
1383,766,12
1384,767,12
1385,768,12
1386,211,12
1387,769,12
1388,770,7
1389,770,3
1390,771,4
1392,772,7
1394,774,7
1395,775,7
1396,776,10
1397,777,9
1398,778,7
1399,779,7
1400,780,10
1402,782,10
1403,783,7
1404,783,3
1406,784,7
1407,785,7
1408,786,7
1409,787,7
1410,788,7
1411,789,7
1412,789,3
1413,790,7
1414,790,3
1415,791,7
1416,792,10
1417,793,7
1418,793,3
1419,794,7
1420,794,3
1421,795,9
1422,796,7
1423,796,3
1424,797,7
1425,798,12
1426,799,12
1427,800,7
1428,801,4
1429,801,6
1430,802,7
1431,803,12
1433,804,9
1434,805,9
1435,806,6
1437,807,7
1439,808,12
1440,808,3
1441,809,3
1442,810,9
1443,811,9
1445,813,10
1446,813,4
1447,814,4
1449,815,3
1450,815,12
1451,816,10
1452,128,6
1453,128,12
1454,817,12
1455,817,8
1456,818,4
1457,818,6
1458,819,7
1461,821,10
1462,821,4
1463,822,10
1464,822,4
1467,824,10
1468,824,4
1471,826,12
1472,827,10
1473,828,10
1474,828,4
1475,828,6
1477,829,4
1478,829,6
1479,830,6
1480,830,4
1481,831,7
1482,831,3
1483,832,10
1485,834,10
1486,835,10
1487,836,10
1488,837,7
1489,838,4
1490,838,7
1491,839,9
1492,840,9
1493,841,10
1494,842,6
1495,842,4
1498,844,10
1499,844,4
1501,845,14
1503,846,13
1504,846,12
1505,846,10
1506,846,4
1507,847,13
1508,847,10
1509,847,4
1510,848,13
1511,848,10
1512,848,4
1513,849,13
1514,849,10
1515,849,4
1516,850,13
1517,850,10
1518,850,4
1519,851,13
1520,851,10
1521,851,4
1525,853,13
1526,853,10
1527,853,4
1531,855,13
1532,855,10
1533,855,4
1537,857,13
1538,857,10
1539,857,4
1540,858,13
1541,858,10
1542,858,4
1543,859,13
1544,860,13
1545,860,10
1546,860,4
1547,861,13
1548,861,10
1549,861,4
1550,862,13
1551,862,10
1552,862,4
1559,865,6
1560,865,4
1561,866,6
1562,866,4
1565,868,6
1566,868,4
1567,869,4
1568,870,10
1569,870,4
1570,871,13
1571,871,12
1572,871,10
1573,872,7
1574,873,10
1575,874,10
1576,875,13
1577,875,10
1578,876,4
1580,876,6
1581,876,14
1583,877,7
1584,878,6
1586,879,10
1587,879,4
1588,880,6
1589,880,4
1592,881,6
1595,883,6
1596,883,4
1597,884,6
1598,884,4
1599,885,6
1600,885,4
1602,886,10
1603,887,10
1604,888,6
1605,888,4
1606,889,6
1607,889,4
1610,891,6
1611,891,4
1614,893,6
1615,893,4
1616,894,6
1617,894,4
1618,895,12
1619,895,7
1620,896,12
1621,896,7
1622,899,4
1623,899,7
1624,902,4
1625,902,9
1628,971,13
1629,971,4
1630,764,12
1632,973,8
1633,974,7
1634,975,9
1635,976,14
1636,976,12
1637,976,7
1638,976,3
1639,977,9
1640,978,9
1641,979,7
1642,980,10
1643,981,9
1644,982,12
1647,985,7
1650,987,12
1652,987,3
1656,989,8
1657,990,4
1658,990,7
1659,991,12
1660,991,3
1666,994,6
1667,994,10
1668,994,4
1669,995,6
1670,995,10
1671,995,4
1672,996,6
1673,996,10
1674,996,4
1675,997,6
1676,997,10
1677,997,4
1678,998,6
1679,998,10
1680,998,4
1681,999,4
1682,1000,12
1683,1001,4
1684,1002,10
1685,1002,4
1686,1003,12
1687,1004,12
1688,1005,10
1689,1005,7
1692,1008,9
1693,1009,9
1694,1009,7
1695,1010,10
1696,1011,7
1697,1011,9
1716,1018,4
1717,1018,10
1718,1018,12
1719,1019,4
1720,1019,10
1721,1019,12
1722,1020,4
1723,1020,10
1724,1020,12
1725,1021,4
1726,1021,10
1727,1021,12
1728,1022,4
1729,1022,10
1730,1022,12
1731,1023,4
1732,1023,10
1733,1023,12
1734,1024,4
1735,1024,10
1736,1024,12
1737,1025,4
1738,1025,10
1739,1025,12
1740,1026,4
1741,1026,10
1742,1026,12
1743,1027,4
1744,1027,10
1745,1027,12
1746,1028,4
1747,1028,10
1748,1028,12
1749,1029,4
1750,1029,10
1751,1029,12
1752,1030,4
1753,1030,10
1754,1030,12
1755,1031,4
1756,1031,10
1757,1031,12
1758,1032,4
1759,1032,10
1760,1032,12
1761,1033,4
1762,1033,10
1763,1033,12
1764,1034,4
1765,1034,10
1766,1034,12
1767,1035,4
1768,1035,10
1769,1035,12
1770,1036,4
1771,1036,10
1772,1036,12
1776,1038,4
1777,1038,10
1778,1038,12
1779,1039,4
1780,1039,10
1781,1039,12
1782,1040,4
1783,1040,10
1784,1040,12
1785,1041,4
1786,1041,10
1787,1041,12
1788,1042,4
1789,1042,10
1790,1042,12
1791,1043,4
1792,1043,10
1793,1043,12
1794,1044,4
1795,1044,10
1796,1044,12
1797,1045,4
1798,1045,10
1799,1045,12
1800,1046,4
1801,1046,10
1802,1046,12
1806,1048,4
1807,1048,10
1808,1048,12
1812,1050,4
1813,1050,10
1814,1050,12
1815,1051,4
1816,1051,10
1817,1051,12
1818,1052,4
1819,1052,10
1820,1052,12
1821,1053,4
1822,1053,10
1823,1053,12
1824,1054,4
1825,1054,10
1826,1054,12
1827,1055,4
1828,1055,10
1829,1055,12
1830,1056,4
1831,1056,10
1832,1056,12
1839,1059,4
1840,1059,10
1841,1059,12
1842,1060,4
1843,1060,10
1844,1060,12
1848,1062,4
1849,1062,10
1850,1062,12
1851,1063,4
1852,1063,10
1853,1063,12
1854,1064,4
1855,1064,10
1856,1064,12
1857,1065,4
1858,1065,10
1859,1065,12
1860,1066,4
1861,1066,10
1862,1066,12
1863,1067,4
1864,1067,10
1865,1067,12
1866,1068,4
1867,1068,10
1868,1068,12
1869,1069,4
1870,1069,10
1871,1069,12
1872,1070,4
1873,1070,10
1874,1070,12
1875,1071,4
1876,1071,10
1877,1071,12
1878,1072,4
1879,1072,10
1880,1072,12
1884,1074,4
1885,1074,10
1886,1074,12
1887,1075,4
1888,1075,10
1889,1075,12
1890,1076,4
1891,1076,10
1892,1076,12
1893,1077,4
1894,1077,10
1895,1077,12
1896,1078,4
1897,1078,10
1898,1078,12
1899,1079,4
1900,1079,10
1901,1079,12
1902,1080,4
1903,1080,10
1904,1080,12
1905,1081,4
1906,1081,10
1907,1081,12
1908,1082,4
1909,1082,10
1910,1082,12
1911,1083,4
1912,1083,10
1913,1083,12
1917,1085,4
1918,1085,10
1919,1085,12
1920,1086,4
1921,1086,10
1922,1086,12
1923,1087,4
1924,1087,10
1925,1087,12
1926,1088,4
1927,1088,10
1928,1088,12
1929,1089,4
1930,1089,10
1931,1089,12
1935,1091,4
1936,1091,10
1937,1091,12
1938,1092,4
1939,1092,10
1940,1092,12
1941,1093,4
1942,1093,10
1943,1093,12
1944,1094,4
1945,1094,10
1946,1094,12
1947,1095,4
1948,1095,10
1949,1095,12
1950,1096,4
1951,1096,10
1952,1096,12
1953,1097,4
1954,1097,10
1955,1097,12
1956,1098,4
1957,1098,10
1958,1098,12
1959,1099,4
1960,1099,10
1961,1099,12
1962,1100,4
1963,1100,10
1964,1100,12
1965,1101,12
1966,1102,9
1967,1102,7
1968,1103,9
1969,1104,9
1970,1105,7
1971,1106,7
1972,1107,7
1973,1108,4
1974,1108,6
1975,1108,8
1976,1109,4
1977,1109,6
1978,1109,8
1979,1110,12
1981,1112,7
1982,1113,12
1983,1114,7
1984,1114,9
1985,1115,7
1986,1115,9
1988,1116,8
1989,1117,12
1990,1118,7
1991,1118,9
1992,1119,8
1993,1120,10
1994,1120,4
1995,1121,10
1996,1121,4
1997,1122,10
1998,1122,4
2001,1124,10
2002,1124,4
2003,1125,10
2004,1125,4
2005,1126,10
2006,1126,4
2009,1128,6
2010,1128,4
2011,1129,6
2012,1129,4
2013,1130,9
2014,1131,10
2015,1132,6
2016,1132,4
2017,1133,6
2018,1133,4
2019,1134,6
2020,1134,4
2021,1135,10
2022,1135,4
2023,1135,6
2024,1136,6
2025,1136,4
2026,1137,9
2027,1137,7
2028,1138,9
2029,1139,9
2030,1139,7
2035,1142,9
2036,1142,7
2037,1143,7
2038,1143,9
2039,1144,6
2040,1144,4
2042,1146,10
2043,1147,9
2044,1148,7
2045,1148,9
2046,1149,7
2047,1149,9
2048,1150,7
2049,1150,9
2050,1151,7
2051,1151,9
2052,1152,7
2053,1152,3
2054,1153,7
2055,1153,8
2056,1154,12
2057,1154,8
2059,1156,6
2060,1156,4
2061,1157,6
2063,1158,9
2065,1159,4
2066,1159,8
2067,1160,7
2068,1161,7
2069,1161,8
2070,1162,7
2071,1162,9
2072,1163,12
2073,1164,12
2074,1165,10
2075,1166,10
2076,1167,10
2077,1168,10
2078,1169,7
2079,1170,4
2080,1171,12
2081,1171,10
2082,1172,12
2083,1172,8
2084,1173,7
2085,1173,9
2086,1174,7
2087,1175,12
2090,1176,15
2091,1177,12
2092,1178,6
2093,1178,4
2094,1179,7
2095,1180,7
2096,1180,17
2097,1181,3
2098,1182,7
2099,1182,3
2110,1191,15
2111,1192,10
2112,1192,4
2113,1192,15
2114,1193,12
2115,1194,9
2116,1195,12
2117,1196,7
2118,1196,3
2119,1197,7
2120,1198,12
2121,1199,10
2122,1200,7
2127,1203,15
2130,1206,10
2131,1206,4
2132,1207,3
2133,1208,7
2134,1209,9
2135,1210,6
2136,1210,4
2137,1211,10
2138,1212,7
2139,1213,7
2140,1214,7
2141,1215,7
2142,1216,12
2143,1217,7
2144,1218,10
2145,1218,4
2148,1220,10
2149,1220,4
2150,1221,9
2151,1222,7
2152,1223,9
2153,1224,9
2154,1225,12
2155,1225,10
2156,1226,7
2157,1227,7
2158,1228,10
2159,1229,9
2160,1229,10
2162,1230,7
2163,1231,10
2166,1232,15
2167,1233,12
2168,1234,12
2169,1235,12
2170,1236,4
2174,1237,15
2176,1238,10
2177,1238,4
2178,1238,15
2181,1239,15
2188,1242,10
2189,1242,4
2190,1243,4
2191,1244,6
2193,1245,6
2194,1245,4
2195,1246,7
2196,1247,17
2197,1247,8
2198,1247,9
2200,1248,4
2201,1249,4
2203,1251,4
2204,1252,4
2205,1253,12
2206,1253,9
2207,1254,7
2208,1254,9
2209,1255,7
2210,1256,7
2211,1256,9
2213,1257,7
2214,1257,17
2215,1258,7
2216,1259,7
2217,1260,7
2218,1261,7
2219,1262,7
2220,1263,7
2221,1263,3
2222,1264,4
2223,1265,6
2224,1265,4
2225,1266,4
2226,1267,4
2227,1268,7
2228,1269,10
2229,1270,10
2230,1271,12
2231,1271,8
2232,1214,17
2233,1272,10
2234,1272,4
2235,1272,15
2236,1273,10
2237,1273,4
2238,1273,15
2241,1274,15
2242,1275,8
2243,1275,7
2244,1276,8
2245,1277,8
2246,1278,6
2247,1278,4
2250,1279,15
2251,1280,6
2252,1280,4
2253,1280,8
2254,1281,12
2255,1281,8
2256,1282,9
2257,1283,7
2258,1284,8
2259,1285,7
2260,1285,17
2261,1286,12
2263,1288,6
2264,1288,14
2266,1289,12
2267,1290,7
2268,1290,9
2269,1291,12
2270,1292,7
2271,1292,9
2272,1293,4
2273,1294,12
2274,1295,7
2275,1295,9
2276,1296,10
2277,1297,12
2279,1297,9
2280,1298,7
2281,1299,10
2282,1299,4
2283,1299,15
2286,1300,15
2289,1301,15
2290,1302,10
2291,1302,9
2292,1303,7
2293,1303,17
2294,1304,17
2297,1305,15
2298,1306,6
2299,1306,14
2300,1306,4
2301,1307,7
2302,1308,7
2306,1310,6
2307,1310,14
2308,1310,4
2309,1311,6
2310,1311,14
2311,1311,4
2312,1312,6
2313,1312,14
2314,1312,4
2315,1313,7
2316,1314,4
2317,1315,7
2318,1316,8
2319,1317,6
2320,1317,14
2321,1317,4
2322,1318,6
2323,1318,14
2324,1318,4
2325,1319,6
2326,1319,14
2327,1319,4
2328,1320,6
2329,1320,14
2330,1320,4
2331,1321,6
2332,1321,14
2333,1321,4
2337,1323,6
2338,1323,14
2339,1323,4
2340,1324,6
2341,1324,14
2342,1324,4
2343,1325,6
2344,1325,14
2345,1325,4
2348,1326,15
2349,1327,7
2350,1328,7
2351,1329,6
2352,1329,14
2353,1329,4
2354,1330,6
2355,1330,14
2356,1330,4
2357,1331,6
2358,1331,14
2359,1331,4
2360,1332,6
2361,1332,14
2362,1332,4
2363,1333,6
2364,1333,14
2365,1333,4
2366,1334,6
2367,1334,14
2368,1334,4
2369,1335,6
2370,1335,14
2371,1335,4
2372,1336,12
2373,1337,9
2374,1338,9
2375,1339,12
2376,1340,7
2377,1341,9
2378,1342,9
2379,1343,9
2380,1344,7
2381,1344,9
2383,1346,10
2384,1347,6
2385,1347,14
2386,1347,4
2387,1348,6
2388,1348,14
2389,1348,4
2390,1349,6
2391,1349,14
2392,1349,4
2393,1350,6
2394,1350,14
2395,1350,4
2396,1351,8
2397,1352,12
2398,1353,10
2399,1354,10
2400,1355,10
2401,1356,7
2402,1356,3
2403,1357,8
2404,1358,3
2405,1359,9
2406,1360,4
2407,1361,10
2408,1361,4
2409,1361,15
2410,1362,10
2411,1362,8
2413,1345,9
2414,1352,8
2415,1352,9
2418,1364,15
2419,1365,7
2420,1366,7
2421,1367,6
2422,1367,14
2423,1367,4
2424,1368,6
2425,1368,14
2426,1368,4
2427,1369,6
2428,1369,14
2429,1369,4
2430,1370,6
2431,1370,14
2432,1370,4
2433,1371,9
2434,1372,6
2435,1372,14
2436,1372,4
2437,1373,6
2438,1373,14
2439,1373,4
2440,1374,6
2441,1374,14
2442,1374,4
2443,1375,6
2444,1375,14
2445,1375,4
2446,1376,6
2447,1376,14
2448,1376,4
2449,1377,6
2450,1377,14
2451,1377,4
2452,1378,6
2453,1378,14
2454,1378,4
2455,1379,6
2456,1379,14
2457,1379,4
2458,1380,6
2459,1380,14
2461,1381,8
2462,1382,12
2463,1382,8
2464,1383,7
2465,1384,7
2466,1384,17
2467,1385,12
2468,1385,7
2469,1385,8
2470,1386,10
2472,1388,6
2474,1389,10
2475,1390,10
2476,1391,10
2477,1392,9
2478,1393,8
2479,1394,7
2480,1395,7
2481,1396,6
2482,1396,14
2483,1396,4
2484,1397,6
2485,1397,14
2486,1397,4
2490,1399,12
2491,1400,6
2492,1400,14
2493,1400,4
2494,1401,6
