id,district_id,name
391,73,LA MESA (CABECERA)
367,70,LA MONTAÑUELA
615,75,LA PEÑA
375,72,LA RAYA DE CALOBRE
616,75,LA RAYA DE SANTA MARIA
628,71,LA SOLEDAD
376,72,LA TETILLA
377,72,LA YEGUADA
385,76,LAS CRUCES
378,72,LAS GUIAS
419,77,LAS HUACAS
401,67,LAS PALMAS (CABECERA)
414,68,LEONES
635,69,LLANO DE CATIVAL O MARIATO (CABECERA)
392,73,LLANO GRANDE
402,67,LOLA
617,75,LOS ALGARROBOS
420,77,LOS CASTILLOS
424,78,LOS HATILLOS
393,73,LOS MILAGROS
386,76,LOS VALLES
379,72,MONJARAS
415,68,MONTIJO (CABECERA)
403,67,PIXVAE
618,75,PONUGA
404,67,PUERTO VIDAL
629,71,QUEBRADA DE ORO
636,69,QUEBRO
425,78,REMANCE
421,77,RIO DE JESUS (CABECERA)
630,71,RIO GRANDE
434,74,RIO LUIS
631,71,RODEO VIEJO
368,70,SAN ANTONIO
394,73,SAN BARTOLO
426,78,SAN FRANCISCO (CABECERA)
380,72,SAN JOSE
387,76,SAN JOSE
427,78,SAN JOSE
428,78,SAN JUAN
388,76,SAN MARCELO
405,67,SAN MARTIN DE PORRES
619,75,SAN MARTIN DE PORRES
620,75,SAN PEDRO DEL ESPINO
435,74,SANTA FE (CABECERA)
621,75,SANTIAGO (CABECERA)
632,71,SONA (CABECERA)
416,68,TEBARIO
637,69,TEBARIO
417,68,UNION DEL NORTE
622,75,URRACA
422,77,UTIRA
406,67,VIGUI
407,67,ZAPOTILLO
